cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
Ya1 kan4 ndi4 ba143 nda4i3ka(4)=e4 sa4-ndi'3i(3)=o4 xa'1a4=e2 ndi4 ja1 lu3u3 tan3 lu3u(3)=a2 ta4xi3 kwa'4a4 yo4o4 an4 i3in3 litru an4 u1bi1 litru ba42 ta13xi3 kwa'4a4 yo4o4 ya1 chi'3i(3)=o4 ko3ndo3 ta3ta2 yo4o4 ran4.,▁Ya 1 ▁kan 4 ▁ndi 4 ▁ba 143 ▁nda 4 i 3 ka (4)= e 4 ▁sa 4- ndi '3 i (3)= o 4 ▁xa '1 a 4= e 2 ▁ndi 4 ▁ja 1 ▁lu 3 u 3 ▁tan 3 ▁lu 3 u (3)= a 2 ▁ta 4 xi 3 ▁kwa '4 a 4 ▁yo 4 o 4 ▁an 4 ▁i 3 in 3 ▁litru ▁an 4 ▁u 1 bi 1 ▁litru ▁ba 42 ▁ta 13 xi 3 ▁kwa '4 a 4 ▁yo 4 o 4 ▁ya 1 ▁chi '3 i (3)= o 4 ▁ko 3 ndo 3 ▁ta 3 ta 2 ▁yo 4 o 4 ▁ran 4.,▁Ya 1 ▁kan 4 ▁ndi 4 ▁ba 143 ▁nda 4 i 3 ka (4)= e 4 ▁sa 4- ndi '3 i (3)= o 4 ▁xa '1 a 4= e 2 ▁ndi 4 ▁ja 1 ▁lu 3 u 3 ▁tan 3 ▁lu 3 u (3)= a 2 ▁ta 4 xi 3 ▁kwa '4 a 4 ▁yo 4 o 4 ▁an 4 ▁i 3 in 3 ▁litru ▁an 4 ▁u 1 bi 1 ▁litru ▁ba 4 2 ▁ta 1 3 xi 3 ▁kwa '4 a 4 ▁yo 4 o 4 ▁ya 1 ▁chi '3 i (3)= o 4 ▁ko 3 ndo 3 ▁ta 3 ta 2 ▁yo 4 o 4 ▁ran 4.,Ya1kan4ndi4ba143nda4i3ka(4) e4sa4ndi'3i(3) o4xa'1a4 e2ndi4ja1lu3u3tan3lu3u(3) a2ta4xi3kwa'4a4yo4o4an4i3in3litruan4u1bi1litruba42ta13xi3kwa'4a4yo4o4ya1chi'3i(3) o4ko3ndo3ta3ta2yo4o4ran4.,▁ Y a 1 ▁ k a n 4 ▁ n d i 4 ▁ b a 1 4 3 ▁ n d a 4 i 3 k a ( 4 ) = e 4 ▁ s a 4 - n d i ' 3 i ( 3 ) = o 4 ▁ x a ' 1 a 4 = e 2 ▁ n d i 4 ▁ j a 1 ▁ l u 3 u 3 ▁ t a n 3 ▁ l u 3 u ( 3 ) = a 2 ▁ t a 4 x i 3 ▁ k w a ' 4 a 4 ▁ y o 4 o 4 ▁ a n 4 ▁ i 3 i n 3 ▁ l i t r u ▁ a n 4 ▁ u 1 b i 1 ▁ l i t r u ▁ b a 4 2 ▁ t a 1 3 x i 3 ▁ k w a ' 4 a 4 ▁ y o 4 o 4 ▁ y a 1 ▁ c h i ' 3 i ( 3 ) = o 4 ▁ k o 3 n d o 3 ▁ t a 3 t a 2 ▁ y o 4 o 4 ▁ r a n 4 .
¿Tan3 i3nga2 ka1 nu14u3 ndu3chi4 tin3?,▁¿ Tan 3 ▁i 3 nga 2 ▁ka 1 ▁nu 14 u 3 ▁ndu 3 chi 4 ▁tin 3?,▁¿ Tan 3 ▁i 3 nga 2 ▁ka 1 ▁nu 1 4 u 3 ▁ndu 3 chi 4 ▁tin 3?,¿Tan3i3nga2ka1nu14u3ndu3chi4tin3?,▁ ¿ T a n 3 ▁ i 3 n g a 2 ▁ k a 1 ▁ n u 1 4 u 3 ▁ n d u 3 c h i 4 ▁ t i n 3 ?
"Ko14o3 ka1 i3nga2 ka1 nu14u3 ndu3chi4, ya1 i4yo2 ku4u4 ba3 ndu3chi4 ndi4 tan42 ku4u4 ndu3chi4 i3tu2 ba3 tan42 ku4u4 ndu3chi4 china ba3 ya1 kan4 ba42 i4yo2 ndi4 ya1 kan4 ndi4 ja1","▁Ko 14 o 3 ▁ka 1 ▁i 3 nga 2 ▁ka 1 ▁nu 14 u 3 ▁ndu 3 chi 4, ▁ya 1 ▁i 4 yo 2 ▁ku 4 u 4 ▁ba 3 ▁ndu 3 chi 4 ▁ndi 4 ▁tan 42 ▁ku 4 u 4 ▁ndu 3 chi 4 ▁i 3 tu 2 ▁ba 3 ▁tan 42 ▁ku 4 u 4 ▁ndu 3 chi 4 ▁china ▁ba 3 ▁ya 1 ▁kan 4 ▁ba 42 ▁i 4 yo 2 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ndi 4 ▁ja 1","▁Ko 1 4 o 3 ▁ka 1 ▁i 3 nga 2 ▁ka 1 ▁nu 1 4 u 3 ▁ndu 3 chi 4, ▁ya 1 ▁i 4 yo 2 ▁ku 4 u 4 ▁ba 3 ▁ndu 3 chi 4 ▁ndi 4 ▁tan 4 2 ▁ku 4 u 4 ▁ndu 3 chi 4 ▁i 3 tu 2 ▁ba 3 ▁tan 4 2 ▁ku 4 u 4 ▁ndu 3 chi 4 ▁chi na ▁ba 3 ▁ya 1 ▁kan 4 ▁ba 4 2 ▁i 4 yo 2 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ndi 4 ▁ja 1","Ko14o3ka1i3nga2ka1nu14u3ndu3chi4,ya1i4yo2ku4u4ba3ndu3chi4ndi4tan42ku4u4ndu3chi4i3tu2ba3tan42ku4u4ndu3chi4chinaba3ya1kan4ba42i4yo2ndi4ya1kan4ndi4ja1","▁ K o 1 4 o 3 ▁ k a 1 ▁ i 3 n g a 2 ▁ k a 1 ▁ n u 1 4 u 3 ▁ n d u 3 c h i 4 , ▁ y a 1 ▁ i 4 y o 2 ▁ k u 4 u 4 ▁ b a 3 ▁ n d u 3 c h i 4 ▁ n d i 4 ▁ t a n 4 2 ▁ k u 4 u 4 ▁ n d u 3 c h i 4 ▁ i 3 t u 2 ▁ b a 3 ▁ t a n 4 2 ▁ k u 4 u 4 ▁ n d u 3 c h i 4 ▁ c h i n a ▁ b a 3 ▁ y a 1 ▁ k a n 4 ▁ b a 4 2 ▁ i 4 y o 2 ▁ n d i 4 ▁ y a 1 ▁ k a n 4 ▁ n d i 4 ▁ j a 1"
"xa'1a4 i3tu2 ba3 tan42 ku4u4 mi4i4 nde4e4 yu1u4 ba3 i3kan4 chi'4i4=na(2)=e2 kan4, tan3 ya1 ko4ndo3 ndu3chi4 ndi4","▁xa '1 a 4 ▁i 3 tu 2 ▁ba 3 ▁tan 42 ▁ku 4 u 4 ▁mi 4 i 4 ▁nde 4 e 4 ▁yu 1 u 4 ▁ba 3 ▁i 3 kan 4 ▁chi '4 i 4= na (2)= e 2 ▁kan 4, ▁tan 3 ▁ya 1 ▁ko 4 ndo 3 ▁ndu 3 chi 4 ▁ndi 4","▁xa '1 a 4 ▁i 3 tu 2 ▁ba 3 ▁tan 4 2 ▁ku 4 u 4 ▁mi 4 i 4 ▁nde 4 e 4 ▁yu 1 u 4 ▁ba 3 ▁i 3 kan 4 ▁chi '4 i 4= na (2)= e 2 ▁kan 4, ▁tan 3 ▁ya 1 ▁ko 4 ndo 3 ▁ndu 3 chi 4 ▁ndi 4","xa'1a4i3tu2ba3tan42ku4u4mi4i4nde4e4yu1u4ba3i3kan4chi'4i4 na(2) e2kan4,tan3ya1ko4ndo3ndu3chi4ndi4","▁ x a ' 1 a 4 ▁ i 3 t u 2 ▁ b a 3 ▁ t a n 4 2 ▁ k u 4 u 4 ▁ m i 4 i 4 ▁ n d e 4 e 4 ▁ y u 1 u 4 ▁ b a 3 ▁ i 3 k a n 4 ▁ c h i ' 4 i 4 = n a ( 2 ) = e 2 ▁ k a n 4 , ▁ t a n 3 ▁ y a 1 ▁ k o 4 n d o 3 ▁ n d u 3 c h i 4 ▁ n d i 4"
"ndu3chi4 tu14un3 ji'4in4 ndu3chi4, ndu3chi4 me4ku2 ndu3chi4 kwa'4a1 ka4chi2=o4 ña1a4 ya1 ña1a4 ba42 ya1, ya1 ndu3chi4 ya1 ba'1a3 ka3xi(4)=o4 ndi3chi2 tan3 ya1 ndu3chi4 tu14un3 ndi4 xi1i32 te'4e4=ni42 so1o4=a2 kan4 ba143 ja4xi24=na2 ndi3chi(2)=a2 kan4.","▁ndu 3 chi 4 ▁tu 14 un 3 ▁ji '4 in 4 ▁ndu 3 chi 4, ▁ndu 3 chi 4 ▁me 4 ku 2 ▁ndu 3 chi 4 ▁kwa '4 a 1 ▁ka 4 chi 2= o 4 ▁ña 1 a 4 ▁ya 1 ▁ña 1 a 4 ▁ba 42 ▁ya 1, ▁ya 1 ▁ndu 3 chi 4 ▁ya 1 ▁ba '1 a 3 ▁ka 3 xi (4)= o 4 ▁ndi 3 chi 2 ▁tan 3 ▁ya 1 ▁ndu 3 chi 4 ▁tu 14 un 3 ▁ndi 4 ▁xi 1 i 32 ▁te '4 e 4= ni 42 ▁so 1 o 4= a 2 ▁kan 4 ▁ba 143 ▁ja 4 xi 24= na 2 ▁ndi 3 chi (2)= a 2 ▁kan 4.","▁ndu 3 chi 4 ▁tu 1 4 un 3 ▁ji '4 in 4 ▁ndu 3 chi 4, ▁ndu 3 chi 4 ▁me 4 ku 2 ▁ndu 3 chi 4 ▁kwa '4 a 1 ▁ka 4 chi 2= o 4 ▁ña 1 a 4 ▁ya 1 ▁ña 1 a 4 ▁ba 4 2 ▁ya 1, ▁ya 1 ▁ndu 3 chi 4 ▁ya 1 ▁ba '1 a 3 ▁ka 3 xi (4)= o 4 ▁ndi 3 chi 2 ▁tan 3 ▁ya 1 ▁ndu 3 chi 4 ▁tu 1 4 un 3 ▁ndi 4 ▁xi 1 i 3 2 ▁te '4 e 4= ni 4 2 ▁so 1 o 4= a 2 ▁kan 4 ▁ba 143 ▁ja 4 xi 2 4= na 2 ▁ndi 3 chi (2)= a 2 ▁kan 4.","ndu3chi4tu14un3ji'4in4ndu3chi4,ndu3chi4me4ku2ndu3chi4kwa'4a1ka4chi2 o4ña1a4ya1ña1a4ba42ya1,ya1ndu3chi4ya1ba'1a3ka3xi(4) o4ndi3chi2tan3ya1ndu3chi4tu14un3ndi4xi1i32te'4e4 ni42so1o4 a2kan4ba143ja4xi24 na2ndi3chi(2) a2kan4.","▁ n d u 3 c h i 4 ▁ t u 1 4 u n 3 ▁ j i ' 4 i n 4 ▁ n d u 3 c h i 4 , ▁ n d u 3 c h i 4 ▁ m e 4 k u 2 ▁ n d u 3 c h i 4 ▁ k w a ' 4 a 1 ▁ k a 4 c h i 2 = o 4 ▁ ñ a 1 a 4 ▁ y a 1 ▁ ñ a 1 a 4 ▁ b a 4 2 ▁ y a 1 , ▁ y a 1 ▁ n d u 3 c h i 4 ▁ y a 1 ▁ b a ' 1 a 3 ▁ k a 3 x i ( 4 ) = o 4 ▁ n d i 3 c h i 2 ▁ t a n 3 ▁ y a 1 ▁ n d u 3 c h i 4 ▁ t u 1 4 u n 3 ▁ n d i 4 ▁ x i 1 i 3 2 ▁ t e ' 4 e 4 = n i 4 2 ▁ s o 1 o 4 = a 2 ▁ k a n 4 ▁ b a 1 4 3 ▁ j a 4 x i 2 4 = n a 2 ▁ n d i 3 c h i ( 2 ) = a 2 ▁ k a n 4 ."
Ya1 kan4 ba42 chi'4i4 kwa'1a4 ka1=na1.,▁Ya 1 ▁kan 4 ▁ba 42 ▁chi '4 i 4 ▁kwa '1 a 4 ▁ka 1= na 1.,▁Ya 1 ▁kan 4 ▁ba 4 2 ▁chi '4 i 4 ▁kwa '1 a 4 ▁ka 1= na 1.,Ya1kan4ba42chi'4i4kwa'1a4ka1 na1.,▁ Y a 1 ▁ k a n 4 ▁ b a 4 2 ▁ c h i ' 4 i 4 ▁ k w a ' 1 a 4 ▁ k a 1 = n a 1 .
Ya1 kan4 ba42 chi'4i4 kwa'1a4=na3.,▁Ya 1 ▁kan 4 ▁ba 42 ▁chi '4 i 4 ▁kwa '1 a 4= na 3.,▁Ya 1 ▁kan 4 ▁ba 4 2 ▁chi '4 i 4 ▁kwa '1 a 4= na 3.,Ya1kan4ba42chi'4i4kwa'1a4 na3.,▁ Y a 1 ▁ k a n 4 ▁ b a 4 2 ▁ c h i ' 4 i 4 ▁ k w a ' 1 a 4 = n a 3 .
"Tan3 o4ra2 ta'4bi14=a2 ka4chi2=o4 kan4 nda4-nde3ta3 ndu3chi4 kan4 tin3, ¿sa1a3 i4xa3=na2 tan3 kwa'1an1=na1 ka4ya2=na(1)=e1 tin3?","▁Tan 3 ▁o 4 ra 2 ▁ta '4 bi 14= a 2 ▁ka 4 chi 2= o 4 ▁kan 4 ▁nda 4- nde 3 ta 3 ▁ndu 3 chi 4 ▁kan 4 ▁tin 3, ▁¿ sa 1 a 3 ▁i 4 xa 3= na 2 ▁tan 3 ▁kwa '1 an 1= na 1 ▁ka 4 ya 2= na (1)= e 1 ▁tin 3?","▁Tan 3 ▁o 4 ra 2 ▁ta '4 bi 1 4= a 2 ▁ka 4 chi 2= o 4 ▁kan 4 ▁nda 4- nde 3 ta 3 ▁ndu 3 chi 4 ▁kan 4 ▁tin 3, ▁¿ sa 1 a 3 ▁i 4 xa 3= na 2 ▁tan 3 ▁kwa '1 an 1= na 1 ▁ka 4 ya 2= na (1)= e 1 ▁tin 3?","Tan3o4ra2ta'4bi14 a2ka4chi2 o4kan4nda4nde3ta3ndu3chi4kan4tin3,¿sa1a3i4xa3 na2tan3kwa'1an1 na1ka4ya2 na(1) e1tin3?","▁ T a n 3 ▁ o 4 r a 2 ▁ t a ' 4 b i 1 4 = a 2 ▁ k a 4 c h i 2 = o 4 ▁ k a n 4 ▁ n d a 4 - n d e 3 t a 3 ▁ n d u 3 c h i 4 ▁ k a n 4 ▁ t i n 3 , ▁ ¿ s a 1 a 3 ▁ i 4 x a 3 = n a 2 ▁ t a n 3 ▁ k w a ' 1 a n 1 = n a 1 ▁ k a 4 y a 2 = n a ( 1 ) = e 1 ▁ t i n 3 ?"
"¿Nda4a(2)=e2? ¿Ya1 ndi3chi2 un4? Ya1 ka3ya2=e4 ya1, ya1 tu'3un(3)=e4 ko3ndo(3)=a2 ran4, ya1 tu'3un(3)=e4 ko3ndo(3)=a2 kan4 ta3nde3e(3)=o4=e2 ja1 mbo3la3 ja1 mbo3la3 ta3nde3e(3)=o4=ya2,","▁¿ Nda 4 a (2)= e 2? ▁¿ Ya 1 ▁ndi 3 chi 2 ▁un 4? ▁Ya 1 ▁ka 3 ya 2= e 4 ▁ya 1, ▁ya 1 ▁tu '3 un (3)= e 4 ▁ko 3 ndo (3)= a 2 ▁ran 4, ▁ya 1 ▁tu '3 un (3)= e 4 ▁ko 3 ndo (3)= a 2 ▁kan 4 ▁ta 3 nde 3 e (3)= o 4= e 2 ▁ja 1 ▁mbo 3 la 3 ▁ja 1 ▁mbo 3 la 3 ▁ta 3 nde 3 e (3)= o 4= ya 2,","▁¿ Nda 4 a (2)= e 2? ▁¿ Ya 1 ▁ndi 3 chi 2 ▁ un 4? ▁Ya 1 ▁ka 3 ya 2= e 4 ▁ya 1, ▁ya 1 ▁tu '3 un (3)= e 4 ▁ko 3 ndo (3)= a 2 ▁ran 4, ▁ya 1 ▁tu '3 un (3)= e 4 ▁ko 3 ndo (3)= a 2 ▁kan 4 ▁ta 3 nde 3 e (3)= o 4= e 2 ▁ja 1 ▁mbo 3 la 3 ▁ja 1 ▁mbo 3 la 3 ▁ta 3 nde 3 e (3)= o 4= ya 2,","¿Nda4a(2) e2?¿Ya1ndi3chi2un4?Ya1ka3ya2 e4ya1,ya1tu'3un(3) e4ko3ndo(3) a2ran4,ya1tu'3un(3) e4ko3ndo(3) a2kan4ta3nde3e(3) o4 e2ja1mbo3la3ja1mbo3la3ta3nde3e(3) o4 ya2,","▁ ¿ N d a 4 a ( 2 ) = e 2 ? ▁ ¿ Y a 1 ▁ n d i 3 c h i 2 ▁ u n 4 ? ▁ Y a 1 ▁ k a 3 y a 2 = e 4 ▁ y a 1 , ▁ y a 1 ▁ t u ' 3 u n ( 3 ) = e 4 ▁ k o 3 n d o ( 3 ) = a 2 ▁ r a n 4 , ▁ y a 1 ▁ t u ' 3 u n ( 3 ) = e 4 ▁ k o 3 n d o ( 3 ) = a 2 ▁ k a n 4 ▁ t a 3 n d e 3 e ( 3 ) = o 4 = e 2 ▁ j a 1 ▁ m b o 3 l a 3 ▁ j a 1 ▁ m b o 3 l a 3 ▁ t a 3 n d e 3 e ( 3 ) = o 4 = y a 2 ,"
"ki3nda2a2 ndi'3i(3)=o4 yu1ku1 nu14u(3)=a2 ki3nda2a2 ndi'3i(3)=o4 ndi3chi2 kwi4i24 nu14u(3)=a2 ndi4 ya1 kan4 ba'1a3 ya1ni3=a2 o4ra2 ki3xa3a(4)=e4 ka3ni(3)=o4=e3,","▁ki 3 nda 2 a 2 ▁ndi '3 i (3)= o 4 ▁yu 1 ku 1 ▁nu 14 u (3)= a 2 ▁ki 3 nda 2 a 2 ▁ndi '3 i (3)= o 4 ▁ndi 3 chi 2 ▁kwi 4 i 24 ▁nu 14 u (3)= a 2 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ba '1 a 3 ▁ya 1 ni 3= a 2 ▁o 4 ra 2 ▁ki 3 xa 3 a (4)= e 4 ▁ka 3 ni (3)= o 4= e 3,","▁ki 3 nda 2 a 2 ▁ndi '3 i (3)= o 4 ▁yu 1 ku 1 ▁nu 1 4 u (3)= a 2 ▁ki 3 nda 2 a 2 ▁ndi '3 i (3)= o 4 ▁ndi 3 chi 2 ▁kwi 4 i 2 4 ▁nu 1 4 u (3)= a 2 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ba '1 a 3 ▁ya 1 ni 3= a 2 ▁o 4 ra 2 ▁ki 3 xa 3 a (4)= e 4 ▁ka 3 ni (3)= o 4= e 3,","ki3nda2a2ndi'3i(3) o4yu1ku1nu14u(3) a2ki3nda2a2ndi'3i(3) o4ndi3chi2kwi4i24nu14u(3) a2ndi4ya1kan4ba'1a3ya1ni3 a2o4ra2ki3xa3a(4) e4ka3ni(3) o4 e3,","▁ k i 3 n d a 2 a 2 ▁ n d i ' 3 i ( 3 ) = o 4 ▁ y u 1 k u 1 ▁ n u 1 4 u ( 3 ) = a 2 ▁ k i 3 n d a 2 a 2 ▁ n d i ' 3 i ( 3 ) = o 4 ▁ n d i 3 c h i 2 ▁ k w i 4 i 2 4 ▁ n u 1 4 u ( 3 ) = a 2 ▁ n d i 4 ▁ y a 1 ▁ k a n 4 ▁ b a ' 1 a 3 ▁ y a 1 n i 3 = a 2 ▁ o 4 r a 2 ▁ k i 3 x a 3 a ( 4 ) = e 4 ▁ k a 3 n i ( 3 ) = o 4 = e 3 ,"
tan3 na4 ni14-ki3nda2a(2)=e4 yu1ku1 nu14u(3)=a2 ni14-ki3nda2a(2)=e4 ndi3chi2 kwi4i24 nu14u(3)=a2 ndi4,▁tan 3 ▁na 4 ▁ni 14- ki 3 nda 2 a (2)= e 4 ▁yu 1 ku 1 ▁nu 14 u (3)= a 2 ▁ni 14- ki 3 nda 2 a (2)= e 4 ▁ndi 3 chi 2 ▁kwi 4 i 24 ▁nu 14 u (3)= a 2 ▁ndi 4,▁tan 3 ▁na 4 ▁ni 14- ki 3 nda 2 a (2)= e 4 ▁yu 1 ku 1 ▁nu 1 4 u (3)= a 2 ▁ni 14- ki 3 nda 2 a (2)= e 4 ▁ndi 3 chi 2 ▁kwi 4 i 2 4 ▁nu 1 4 u (3)= a 2 ▁ndi 4,tan3na4ni14ki3nda2a(2) e4yu1ku1nu14u(3) a2ni14ki3nda2a(2) e4ndi3chi2kwi4i24nu14u(3) a2ndi4,▁ t a n 3 ▁ n a 4 ▁ n i 1 4 - k i 3 n d a 2 a ( 2 ) = e 4 ▁ y u 1 k u 1 ▁ n u 1 4 u ( 3 ) = a 2 ▁ n i 1 4 - k i 3 n d a 2 a ( 2 ) = e 4 ▁ n d i 3 c h i 2 ▁ k w i 4 i 2 4 ▁ n u 1 4 u ( 3 ) = a 2 ▁ n d i 4
ya1 nda4ñu'4u4 ti4 ku4u4 ndi3chi2 kwi4i24 kan4 su3ku(4)=e4 i3tun4 ja1ta4=e2 ndi4 ta'14bi14=a2 kan4 a1chi1 ndi4 sa1a3 tan42 to3ko4=a2 ta'4nu1 nda4ñu'4u4 ba(3)=e2 kan4.,▁ya 1 ▁nda 4 ñu '4 u 4 ▁ti 4 ▁ku 4 u 4 ▁ndi 3 chi 2 ▁kwi 4 i 24 ▁kan 4 ▁su 3 ku (4)= e 4 ▁i 3 tun 4 ▁ja 1 ta 4= e 2 ▁ndi 4 ▁ta '14 bi 14= a 2 ▁kan 4 ▁a 1 chi 1 ▁ndi 4 ▁sa 1 a 3 ▁tan 42 ▁to 3 ko 4= a 2 ▁ta '4 nu 1 ▁nda 4 ñu '4 u 4 ▁ba (3)= e 2 ▁kan 4.,▁ya 1 ▁nda 4 ñu '4 u 4 ▁ti 4 ▁ku 4 u 4 ▁ndi 3 chi 2 ▁kwi 4 i 2 4 ▁kan 4 ▁su 3 ku (4)= e 4 ▁i 3 tun 4 ▁ja 1 ta 4= e 2 ▁ndi 4 ▁ta '1 4 bi 1 4= a 2 ▁kan 4 ▁a 1 chi 1 ▁ndi 4 ▁sa 1 a 3 ▁tan 4 2 ▁to 3 ko 4= a 2 ▁ta '4 nu 1 ▁nda 4 ñu '4 u 4 ▁ba (3)= e 2 ▁kan 4.,ya1nda4ñu'4u4ti4ku4u4ndi3chi2kwi4i24kan4su3ku(4) e4i3tun4ja1ta4 e2ndi4ta'14bi14 a2kan4a1chi1ndi4sa1a3tan42to3ko4 a2ta'4nu1nda4ñu'4u4ba(3) e2kan4.,▁ y a 1 ▁ n d a 4 ñ u ' 4 u 4 ▁ t i 4 ▁ k u 4 u 4 ▁ n d i 3 c h i 2 ▁ k w i 4 i 2 4 ▁ k a n 4 ▁ s u 3 k u ( 4 ) = e 4 ▁ i 3 t u n 4 ▁ j a 1 t a 4 = e 2 ▁ n d i 4 ▁ t a ' 1 4 b i 1 4 = a 2 ▁ k a n 4 ▁ a 1 c h i 1 ▁ n d i 4 ▁ s a 1 a 3 ▁ t a n 4 2 ▁ t o 3 k o 4 = a 2 ▁ t a ' 4 n u 1 ▁ n d a 4 ñ u ' 4 u 4 ▁ b a ( 3 ) = e 2 ▁ k a n 4 .
"Sa14kan4 ndi4 ki3nda2a(2)=e4 ya1 ja1 ñu'4u4 ndu3chi4 ti1xin3 kan4 ta3nde3e(3)=o4=e2 ya1 kan4 ndi4, ka3ti4 ya1 kan4 ndi4 o4ra2 ku1nu'1u(4)=e4 xi1kwa3a4 nda3-ta3an(4)=e4=ya2 nda1a4 tan3 ku1nu'1u4=a2 ji'4in(4)=o4 ndi4","▁Sa 14 kan 4 ▁ndi 4 ▁ki 3 nda 2 a (2)= e 4 ▁ya 1 ▁ja 1 ▁ñu '4 u 4 ▁ndu 3 chi 4 ▁ti 1 xin 3 ▁kan 4 ▁ta 3 nde 3 e (3)= o 4= e 2 ▁ya 1 ▁kan 4 ▁ndi 4, ▁ka 3 ti 4 ▁ya 1 ▁kan 4 ▁ndi 4 ▁o 4 ra 2 ▁ku 1 nu '1 u (4)= e 4 ▁xi 1 kwa 3 a 4 ▁nda 3- ta 3 an (4)= e 4= ya 2 ▁nda 1 a 4 ▁tan 3 ▁ku 1 nu '1 u 4= a 2 ▁ji '4 in (4)= o 4 ▁ndi 4","▁Sa 1 4 kan 4 ▁ndi 4 ▁ki 3 nda 2 a (2)= e 4 ▁ya 1 ▁ja 1 ▁ñu '4 u 4 ▁ndu 3 chi 4 ▁ti 1 xin 3 ▁kan 4 ▁ta 3 nde 3 e (3)= o 4= e 2 ▁ya 1 ▁kan 4 ▁ndi 4, ▁ka 3 ti 4 ▁ya 1 ▁kan 4 ▁ndi 4 ▁o 4 ra 2 ▁ku 1 nu '1 u (4)= e 4 ▁xi 1 kwa 3 a 4 ▁nda 3- ta 3 an (4)= e 4= ya 2 ▁nda 1 a 4 ▁tan 3 ▁ku 1 nu '1 u 4= a 2 ▁ji '4 in (4)= o 4 ▁ndi 4","Sa14kan4ndi4ki3nda2a(2) e4ya1ja1ñu'4u4ndu3chi4ti1xin3kan4ta3nde3e(3) o4 e2ya1kan4ndi4,ka3ti4ya1kan4ndi4o4ra2ku1nu'1u(4) e4xi1kwa3a4nda3ta3an(4) e4 ya2nda1a4tan3ku1nu'1u4 a2ji'4in(4) o4ndi4","▁ S a 1 4 k a n 4 ▁ n d i 4 ▁ k i 3 n d a 2 a ( 2 ) = e 4 ▁ y a 1 ▁ j a 1 ▁ ñ u ' 4 u 4 ▁ n d u 3 c h i 4 ▁ t i 1 x i n 3 ▁ k a n 4 ▁ t a 3 n d e 3 e ( 3 ) = o 4 = e 2 ▁ y a 1 ▁ k a n 4 ▁ n d i 4 , ▁ k a 3 t i 4 ▁ y a 1 ▁ k a n 4 ▁ n d i 4 ▁ o 4 r a 2 ▁ k u 1 n u ' 1 u ( 4 ) = e 4 ▁ x i 1 k w a 3 a 4 ▁ n d a 3 - t a 3 a n ( 4 ) = e 4 = y a 2 ▁ n d a 1 a 4 ▁ t a n 3 ▁ k u 1 n u ' 1 u 4 = a 2 ▁ j i ' 4 i n ( 4 ) = o 4 ▁ n d i 4"
ki3xa2a(2)=e2 kan4 tan3 ja143 nde4e(4)=a2 mi4i4 ka3ti4 ti1xin3 be'3e3 ndu4-ku1chi3 mi3i4 ba(3)=e2 kan4 tan3,▁ki 3 xa 2 a (2)= e 2 ▁kan 4 ▁tan 3 ▁ja 143 ▁nde 4 e (4)= a 2 ▁mi 4 i 4 ▁ka 3 ti 4 ▁ti 1 xin 3 ▁be '3 e 3 ▁ndu 4- ku 1 chi 3 ▁mi 3 i 4 ▁ba (3)= e 2 ▁kan 4 ▁tan 3,▁ki 3 xa 2 a (2)= e 2 ▁kan 4 ▁tan 3 ▁ja 143 ▁nde 4 e (4)= a 2 ▁mi 4 i 4 ▁ka 3 ti 4 ▁ti 1 xin 3 ▁be '3 e 3 ▁ndu 4- ku 1 chi 3 ▁mi 3 i 4 ▁ba (3)= e 2 ▁kan 4 ▁tan 3,ki3xa2a(2) e2kan4tan3ja143nde4e(4) a2mi4i4ka3ti4ti1xin3be'3e3ndu4ku1chi3mi3i4ba(3) e2kan4tan3,▁ k i 3 x a 2 a ( 2 ) = e 2 ▁ k a n 4 ▁ t a n 3 ▁ j a 1 4 3 ▁ n d e 4 e ( 4 ) = a 2 ▁ m i 4 i 4 ▁ k a 3 t i 4 ▁ t i 1 x i n 3 ▁ b e ' 3 e 3 ▁ n d u 4 - k u 1 c h i 3 ▁ m i 3 i 4 ▁ b a ( 3 ) = e 2 ▁ k a n 4 ▁ t a n 3
